algorithm_accepted_steps,algorithm_converged,algorithm_final_damping,algorithm_final_innovation_norm,algorithm_iteration_count,algorithm_iteration_limit_reached,algorithm_jacobian_rank,algorithm_numerical_failure,algorithm_pi_shape,algorithm_posterior_covariance_trace,algorithm_process_noise_std_km,algorithm_reference_satellite_clock_in_state,algorithm_residual_norm,algorithm_stage,algorithm_state_dim,algorithm_status,algorithm_step_norm,algorithm_theta_dim,algorithm_truth_centered_initialization,algorithm_update_completed,algorithm_upstream_status,algorithm_upstream_success,algorithm_uses_innovation_z_minus_h_pred,baseline_id,baseline_label,case_index,clock_std_ns,cost,estimator_mode,figure_id,full_jcls_scenario_condition_number,full_jcls_scenario_crlb_status,full_jcls_scenario_fim_nullity,full_jcls_scenario_fim_rank,full_jcls_scenario_is_full_rank,full_jcls_scenario_measurement_count,full_jcls_scenario_parameter_dim,nfev,num_satellites,num_users,parameter_dim,position_error_mean_m,position_error_median_m,position_error_rmse_m,range_std_dev_km,rank_metadata_note,rank_metadata_scope,series_value,success,sync_error_mean_s,trial,trial_seed,x_value
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,3,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,930898379367.7429,finite_crlb,0,19,True,30,19,,8,3,19,287.28981013245783,297.8407608368115,287.95141850992,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,3,True,6.242872308752914e-07,1,20279670,8
8,True,0.1524157902758726,,14,False,19,False,,,1e-05,False,2.9290025832717514,step2_joint_lm_jcls,,converged,5.131143048171334e-09,,False,,,,,coarse_jcls,Coarse JCLS,3,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,930898379367.7429,finite_crlb,0,19,True,30,19,14,8,3,19,1999.9409422659526,1999.8957877400446,1999.9409438663315,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,3,True,7.029900530125321e-07,1,20279670,8
,True,,2450.9415688319227,5,,19,False,"[19, 19]",0.0008544857826742211,1e-05,False,,step3_dynamic_sci_sfi_information_update,19,updated,,19,False,True,converged,True,True,refined_jcls,"Refined JCLS, 0.5 s",3,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,930932150644.7319,finite_crlb,0,19,True,150,19,5,8,3,19,4680.848750573851,4680.84878440349,4680.84875085888,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,3,True,3.0338742945538257e-06,1,20279670,8
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,3,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,930898379367.7429,finite_crlb,0,19,True,30,19,,8,3,19,287.44460833999153,297.1432693354755,288.08314538613604,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,3,True,6.242872308752914e-07,2,20287589,8
8,True,15241579.027587255,,22,False,19,False,,,1e-05,False,3.1259524226098216,step2_joint_lm_jcls,,converged,5.455289562817117e-13,,False,,,,,coarse_jcls,Coarse JCLS,3,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,930898379367.7429,finite_crlb,0,19,True,30,19,22,8,3,19,3869.9998169056926,3869.9999778693004,3869.9998174040247,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,3,True,2.667373836214473e-06,2,20287589,8
,True,,10.049993158754354,5,,19,False,"[19, 19]",0.047784694507926405,1e-05,False,,step3_dynamic_sci_sfi_information_update,19,updated,,19,False,True,converged,True,True,refined_jcls,"Refined JCLS, 0.5 s",3,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,930932150644.7319,finite_crlb,0,19,True,150,19,5,8,3,19,3322.120339008916,3322.092630571997,3322.1203393366336,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,3,True,2.3407831579065572e-06,2,20287589,8
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,4,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,5480180077436.231,finite_crlb,0,23,True,40,23,,4,5,23,6524.692267278451,6523.3595613353145,6524.692996285905,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,5,True,6.482424986257604e-07,0,20272760,4
14,True,0.209075158128769,,23,False,23,False,,,1e-05,False,4.281438734065023,step2_joint_lm_jcls,,converged,4.765918236570515e-10,,False,,,,,coarse_jcls,Coarse JCLS,4,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,5480180077436.231,finite_crlb,0,23,True,40,23,23,4,5,23,12912.66160381152,12912.620653802276,12912.661613468246,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,5,True,1.6104364416794814e-06,0,20272760,4
,True,,2798.8805213301057,5,,23,False,"[23, 23]",0.005104820847033546,1e-05,False,,step3_dynamic_sci_sfi_information_update,23,updated,,23,False,True,converged,True,True,refined_jcls,"Refined JCLS, 0.5 s",4,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,5480802113919.941,finite_crlb,0,23,True,200,23,5,4,5,23,14210.478912138944,14210.378617482585,14210.478915217833,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,5,True,1.3360652601461996e-06,0,20272760,4
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,4,1000.0,,v24_three_stage_dynamic,fig5_synchronization_vs_satellites_candidate,5480180077436.231,finite_crlb,0,23,True,40,23,,4,5,23,6526.126047789614,6526.870894688226,6526.126486969135,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,5,True,6.482424986257604e-07,1,20280679,4
